Company Name,Job Title,Job Title,Link,Description,Requirements
Intuit,Principal Business Data Analysis,Business Analyst,https://www.linkedin.com/jobs/view/2279659902/?refId=fb11aa62-119f-4524-b028-b6cd7e318da4,"This role will focus on risk policy development for our Payments, Payroll, QuickBooks Capital or other new Fintech products. Responsibilities will focus on fraud detection and prevention, but elements of credit risk management may also be expected. The lead is responsible for driving fraud risk aspects of business initiatives as well as respond to fraud-related events and demands. Successful candidates for this role will leverage fraud risk expertise, financial analytics and innovative risk strategies to enable Intuit’s SMB growth and expansion, achieve optimal profitability, and enhance trust-related merchant and consumer experience.","Enhance current risk policy, via a deep understanding of our merchant portfolio and related data as well as business practices and objectives
Present policies to business audience and senior/executive leaders in a compelling and data backed fashion
Design, implement, and monitor experiments to explore new methodologies and estimate key metrics for risk policy effectiveness and efficiency
Leverage Intuit ecosystem as well as test latest third party data solutions to enhance existing fraud policies
Effectively work with product and technology teams to build risk solutions, partner with risk operations to operationalize solutions. In addition, the candidate should bring a high level of enthusiasm to the projects and the ability to organize and motivate large groups. This includes taking initiative, ownership and responsibility for projects.
Ability to perform quantitative and business trade-off decisions and create risk policies.
Must be an organized analytical thinker, with the ability to perform or direct a detailed, fully-considered analysis
Must have good judgement with the ability to think creatively and strategically.

How You Will Lead
Strong business acumen and exceptional analytical ability with 8+ years of relevant experience.
Experience with Fintech (Small Business Payment, Payroll, or Lending) is preferred.
Excellent communication skills with the ability to interact with and understand technical subjects and emerging technologies and their relevance to Intuit’s growing money service offerings with the ability to negotiate, prioritize across teams, influence decision makers and build consensus with teams.
Have a track record of diving into data and drive data insights for business needs both quantitatively and qualitatively. Experience with statistical analysis tools such as Excel, SQL, Python, R, Stata, or data visualization tools. Familiar with big data technology such as HIVE, Hadoop, AWS and other related concepts.
Working knowledge of the fundamentals of risk policy such as fraud detection, 3rd party fraud and credit bureau data, scorecard modeling, pricing, loss forecasting, collections and fraud detection.
Able to thrive in a fast-paced environment and be responsive and available during times of peak fraud activity.
Strong organization and time management skills and the ability to manage multiple projects and priorities
Master’s degree in Business, Statistics, Finance, Engineering or a related field. MBA or graduate degree in a related field a plus.
Seniority Level
Associate

Industry
Information Technology & Services  Computer Software  Accounting
Employment Type
Full-time

Job Functions
Information Technology

"
Russell Tobin,"Data Analyst, Marketing",Marketing Analyst,https://www.linkedin.com/jobs/view/2282889938/?refId=e41f1c1a-cd21-4dac-893a-c93867ee2380,"Utilize SQL to execute ad hoc data analysis to report on marketing campaign performance
Build reporting dashboards and visualizations to enable the tracking of campaign/program KPI
Perform analyses on large data sets to understand drivers of marketing engagement and provide recommendations on campaign optimization
Interface and consult with marketers, analysts, and cross-functional partners to understand their reporting and data needs, serving as the point of contact for marketing reporting requests, inquiries, and action items; Interface with data engineering, product, and data science teams to implement customers’ needs
Support marketing team with process improvements for optimized delivery of diverse data requests
Support data testing and triage data issues by working with cross-functional teams such as data engineering, marketing operations, and data science","Strong SQL skills and experience working with large-scale data sets
Exceptional project management and prioritization skills
Experience managing stakeholders with competing priorities in a dynamic and changing environment
High level of detail-orientation
Experience working with cross-functional teams such as marketing, data science, data engineering
Clear and effective verbal and written communication
Experience working with data visualization tools preferred
Experience in marketing industry and understanding of media/marketing measurement preferred
2+ years of working experience"
Apex Systems,Data Analyst II,Data Analyst,https://www.linkedin.com/jobs/view/2286368426/?refId=8e98c544-a16a-48a7-b8df-6ff375f7b649,,"Strong data and analytic skills, knowledge of excel, numbers and data modeling.

Knowledge of or experience working on subscription businesses a plus.

Reporting and presentation skills a must.

Looking for a person who has a passion for data and numbers.

The successful candidate will turn data into information and insights that will help support business decisions.

Work closely with the Data Anlytics team and cross functionally in marketing to produce monthly & quarterly data driven markeitng reports.

Interpret data, analyze results using statistical techniques and provide ongoing reports.

Develop and implement databases, data collection systems, data analytics and other strategies that optimize statistical efficiency and quality.

Acquire data from primary or secondary data sources and maintain databases/data systems.

Identify, analyze, and interpret trends or patterns in complex data sets.

Filter and clean data by reviewing computer reports, printouts, and performance indicators to locate and correct code problems.

Work with management to prioritize business and information needs.

Locate and define new process improvement opportunities.

Skills: MacOS iOS 2 - 5 years of experience.

Education: Bachelor's Degree or equivalent work experience preferred."
Albertsons Companies,Loyalty Business & Financial Analyst,Business Analyst,https://www.linkedin.com/jobs/view/2248118304/?refId=40900d36-bd34-48f8-a8cd-67c7a7798e17,"This role will play a pivotal part in gathering, organizing, and presenting data used to drive growth initiatives and improve the customer's experience and business performance. You will provide key analytics and reporting to inform future direction for the loyalty program, particularly in the area of Subscriptions Services. You will create insights to influence various business units within Albertsons to participate in the loyalty journey.","Perform quantitative and qualitative analyses to build support for strategic growth and new product tools
Develop financial projections to understand the costs/benefits of rolling out new loyalty initiatives. Be able to generate assumptions and build scenarios for various financial outcomes.
Create presentations that showcase the business value and rationale of rolling out new loyalty initiatives. Be able to tailor the presentations to various audiences (business units, executives) based on their needs.
Generate insights and recommendations based on campaign performance results and program KPIs.
Create dashboards and reports that highlight key business indicators.
Handle creation, manipulation, and extraction of data from the Customer Data warehouse that is relevant for analytical and operational needs.
Utilize knowledge and experience in Excel, VBA, Access, database query tools, data warehouse architecture and SQL to solve business problems.
Work independently or collaborate with other global analytics functions, in the following areas: customer relationship management, campaign response, and customer satisfaction.
Provide analytical support to ad-hoc cross-functional projects.
Communicate business performance in a clear and insightful way to the business to facilitate timely and informed decision making.
Acquire solid understanding of Albertson's Safeway business and proactively look for ways to provide analytical solutions to business issues.


Qualifications
Bachelor's or Master's degree (preferred) in a quantitative discipline (Finance or Accounting,Statistics, Economics, Mathematics, Operations Research).
Minimum 2+ years working experience in data analysis or financial modeling.
Consulting or corporate strategy background is desirable.
Proficient in using Excel, VBA and PowerPoint for data manipulation, analysis, and charting
Experience in a Marketing, Merchandising or Customer Analytics environment is highly preferred.
Ability to frame problems, dive deep into analyzing complex data sets, evaluate implications and communicate insights.
Excellent communications skills with respect to translating business needs into a data analysis approach and translating analysis results back into business terms. Ability to synthesize and clearly communicate findings and provide actionable opportunities.
Should have a result -- oriented approach and ability to work efficiently within deadlines
Highly analytical, strategic, and detail-oriented, with a commitment to excellence and a passion for understanding the business implications of analytical results
Proactive, always looking ahead and anticipating consumers & business needs and challenges.
Flexible self-starter who flourishes in a dynamic environment; must be able to work with minimal direction
Strong interpersonal skills with the ability to work effectively in a matrixed organization
High energy, Intellectual curiosity, and passion for problem-solving and comfort with ambiguity.
Some travel required, 10% of time."
"Pyramid Consulting, Inc
",Data Scientist,Data Scientist,https://www.linkedin.com/jobs/view/2212152753/?refId=948d8056-b75b-4a10-b02a-8344136b9edc&trk=flagship3_job_home_savedjobs&lipi=urn%3Ali%3Apage%3Ad_flagship3_myitems_savedjobs%3BFL7YHTqrQQSRm%2BMnOw%2BE2A%3D%3D&licu=urn%3Ali%3Acontrol%3Ad_flagship3_myitems_savedjobs-entity_result&lici=HZE993JuSCOevGzxxLBYAw%3D%3D,"We are looking for a Data Scientist to join our technology team to solve exciting business problems in the domain of commercial banking, payments and financial services. Candidates must have a strong curiosity for data and a proven track record of successfully applying rigorous scientific methods with proficiency in data science knowledge and technical capabilities. This is a unique opportunity to apply your skills and have a direct impact on global business. The ideal candidate will have a strong knowledge of Client, NLP, Deep Learning, Knowledge Graphs and have experience working with massive amounts of data. They should also have strong software engineering skills and the ability to build systems that reach Client  scale. ","Develop and Train production grade Client models on large-scale datasets to solve various business usecases for Commercial Banking.•             Use large scale data processing frameworks such as Spark, AWS EMR, and be proficient at feature engineering across various data sets both structured and un-structured.•             Use Deep Learning models like CNN, RNN and NLP (BERT) for solving various business usecases like name entity resolution, forecasting and anomaly detection.•             Ability to build Client models across Public and Private clouds including container-based Kubernetes environments.•             Work with cross-functional teams to test, implement and deploy models and improve analytical solutions by providing data-driven recommendations•             Collaborate with data, design, product and engineering teams to drive effective Client workflows. Basic Qualifications: •             Advanced Degree in field of Computer Science, Data Science or equivalent engineering discipline.•             Minimum 2-3 years of working experience as a data scientist•             Expertise with Python•             Advanced SQL skills - comfortable working with very large data sets•             Experience with machine learning techniques and advanced analytics (e.g. regression, classification, clustering, time series, econometrics, causal inference, mathematical optimization)•             Relevant work experience in applying advanced analytics or data science"
Albertsons Companies,Data Scientist,Data Scientist,https://www.linkedin.com/jobs/view/2230288464/?refId=9f3da8a5-f71c-415e-915d-57d6446f91c1,"Data Science at Albertsons is inspired to build best in class customer experience and revolutionize the food and drug retail industry. We are looking for people who are excited in re-imagining the grocery experience by harnessing the power of AI and digital technologies. The Data Science team collect and rely on big data from existing stores and customer interactions at the 2300 nationwide stores and beyond. We are a highly driven team that apply data science to delight our customers, to improve store operations, to optimize supply chain and to proactively improve product lifecycle.

You will enjoy working with one of the richest data sets in the world, cutting edge technology, and the ability to see your insights turned into business impacts on regular basis. You'll work closely with other data scientists and business partners in identifying and defining data science projects, building machine learning algorithms and models on top of existing data platforms. The candidate will have a background in computer science or a related technical field with experiences working with large data sets and applying data-driven decision making. A successful candidate will be both technically strong and business savvy, with a passion to make an impact through creative storytelling and timely actions. You are a self-starter, smart yet humble, with a bias for action.","Collaborate with business teams to develop production grade machine learning models on large-scale datasets and improve customers' overall shopping experience
Enhance and apply customer lifetime value models to support various business decision making
Generate sentiment analysis based on surveys and customer feedbacks in order to deliver lovable customer experiences
Identify key drivers for customer satisfaction and opportunities to delight customers through mining complex data
Apply machine learning to enhance recommendation engines and deliver personalized user experience on ecommerce website and loyalty mobile app
Build models and algorithms to fuel growth initiatives for Digital, Merchandising, Marketing and Loyalty teams
Apply predictive modeling techniques to optimize the forecasts for planning needs
Scale up prototypes and implement reliable automated production workflow for models
Collaborate with software development engineers to integrate models
Qualifications
Masters or PhD degree in quantitative discipline: Computer Science, Engineering, Data Science, Math, Statistics or related fields
2+ years of industry experience in applying data science and modeling methodologies: regression model, survival model, ensemble modeling, NLP, recommendation algorithm, clustering, deep learning algorithm, experimental design (Multivariate/A-B testing) and nonparametric Bayesian modeling etc.
2+ years of experience and proficiency in SQL, Python and/or Spark-ML
2+ years of SQL development skills writing queries, transforming data, mining structured and unstructured data.
2+ years of hands-on experience in building data science solutions and production-ready systems on big data platforms such as Snowflake, Spark, Hadoop
Strong teamwork and communication skill
Ability to write production-level code in Python
Experience with Snowflake, Azure Databricks is a strong plus
Seniority Level
Entry level

Industry
Marketing & Advertising
Employment Type
Full-time

Job Functions
Marketing"
"Farmers Insurance
",Junior Data Scientist,Data Scientist,https://www.linkedin.com/jobs/view/2207148844/?refId=8f4e4908-ff81-4329-8ecf-a51070f1c743,"Part of a group of data scientists applying state of the art analytics and ETL to Distribution, Life and Financial Services challenges.
Leverages customer information such as macro and micro (transactional) behavioral data to influence strategic business decisions while using complex, innovative analytics, multi-variate models, machine learning and data mining technologies.
Helps operationalize business decisions.
Drives home a Measures of Success culture within Farmers with a focus on profitable growth initiatives.
Helps deepen and expand the data science toolkits available to Farmers.
Contributes to Farmers understanding of market intelligence. Includes business, strategy and IT implications in all initiatives.","Hands on ability to do advanced modeling, program, and ETL to drive home projects. Python, GitHub, Machine Learning and multi-variate modeling, APIs, SQL, ETL software. Drives home best use of software and hardware.
Supports complex and often vague business challenges involving data science for Farmers. Helps define and understands the scope of projects including measures of success and a data science project vision (roadmap for the team and tools). Helps execute on project plans with a sense of urgency succeeding in hitting deliverable dates.
Partners with IT, business, and Data Management teams in understanding and utilizing our data infrastructure for projects both improving ingestion of information as well as operationalization of results.
Will develop a deep knowledge of consumer analytics including closure models, retention models, agency economics, lead optimization.
Collaborates with business partners, executives and other leaders to understand analytical needs in projects. Helps drive fact-based decision making and a measures of success culture.
Ability to present complex information clearly to both technical and non-technical audiences at all levels of a project including PowerPoint.
Desire and ability to grow and learn technical and non-technical skills including programming skills."
Medium,Data Scientist,Data Scientist,https://www.linkedin.com/jobs/view/2303930011/?refId=a56a2313-e3a5-466c-b613-3e85f6fa75b4,"We are looking for a Data Scientist who will help us build a new future for the written word on the web, as part of a team that translates data into actionable insights. Broadly, Data Scientists at Medium focus on analysis — interpreting data, sharing insights, and developing models that improve the product. We work together to analyze patterns at a macro level, answering questions the rest of the company hasn’t thought to ask yet.

You’ll spend most of your time working on a product team: a group of engineers, designers, a product manager, and you, the Data Scientist, all working together in a small group to build new features. You’ll extract key data and findings, define metrics, evaluate A|B tests, identify opportunities based on the data, and share new insights that no one considered before. You’ll bring data to bear on a set of thorny questions at the intersection of tech and media, helping us grow our ecosystem of readers and writers and build a new economic model for written content.

On the day to day, you will
Partner with a diverse range of stakeholders in editorial, engineering, marketing and product management to extract actionable insight from our usage data
Be an organization-wide advocate for evidence-based decision-making and the use of data
Build dashboards and reports that provide visibility into how people use our products.
Build statistical models that help us understand the ins and outs of how users experience our products
Design and analyze experiments to answer key business questions.
Build data pipelines and models that enable incisive analyses and performant data visualizations
","2+ years of experience doing quantitative analysis at a consumer-facing technology company
Experience with data pipelining, from data preparation to analysis to deployment
Experience writing and optimizing complex SQL queries on large data sets
Knowledge of inferential statistics, especially in an experimentation setting (hypothesis testing, power analysis, experimental design)
Experience communicating the results of analyses with product and leadership teams to influence the strategy of the product
Experience manipulating large data sets through SQL or Python.                                                         experience in Python
Experience developing in Looker
Natural Language processing (NLP) with large data sets
Experience in big data technologies like Spark"
Potrero Medical,Jr. Data Scientist,Data Scientist,https://www.linkedin.com/jobs/view/2313627834/?refId=28287069-b1b6-446c-a0fe-edeffc83ac13,"This role will assist the data science team in performing exploratory data analysis, algorithm development and statistical analysis of clinical data as well as writing publications and other scientific documents. Additionally, the role will occasionally be required to contribute to infrastructure and testing of data pipelines.
","Python
Ability to modify or write scripts with pandas, NumPy that move data, provide visualizations, or perform other analysis.
Ability to debug code
Understanding of the fundamentals of statistics and machine learning.
Understanding of how to visualize data.
Open minded and flexible. Ability to absorb and learn new concepts.
Curiosity and love of science.
Work well both independently and as a part of a team.

Requirements

Perform additional responsibilities or other functions as assigned

2+ years’ experience preferably in the medical device or a similarly regulated industry.
Ability to test code to ensure that it works.
Ability to query analytics databases (SQL).
Exposure or familiarity with clinical trial statistics.
Basic knowledge of biology or medicine.
Ability to read scientific literature.
Familiarity with Agile methodology.
Responsible for performing all duties in compliance with FDA’s Quality System Regulation (QSR), ISO13485, ISO 14971, the Canadian Medical Device Regulations, and all other international regulatory requirements with which Potrero Medical complies."
Amphenol Advanced Sensors,Data Analyst - Morgan Hill,Data Analyst,https://www.linkedin.com/jobs/view/2319116144/?refId=e3ebfcf7-1ea1-4db7-a46d-9a717e0428df,"We are looking for a self-motivated, data analyst to provide finance planning, analysis, and reporting, and process support.
This Data analyst will be responsible for analyzing data, help in automation of data both NPI and production data help support 3DS-PE team for faster and efficient analysis.","Own the forecast tool and process, including Data accuracy
Provide information and analytics to support the sales teams forecasting process and monthly ops reviews packages. Includes bridges and variance reports for orders and sales.
Ensure execution of the daily sales reporting ensuring accuracy and timeliness.
Provide the information and analytics to support the standard margin calculations and variances by identification of volume, price, and mix
Partner with the regional sales leaders and product managers and identify areas to improve process and results
Provide metrics and KPI’s as needed for monthly dashboards: region, country, territory, channel, pipeline, quotes, salesperson, NPI/CPO, etc.
Lead the major sales planning processes - QMI, budget, and strategy
Provide monthly reports and analytics on selling costs: C&B, T&L, cell phone, commissions, advertising, etc.

Required Qualifications

Bachelors preferred but not required.

Demonstrated oral/written communication skills and ability to work cross functionally.

Proficient use of financial systems/analysis tools and Microsoft office. Ability to analyze complex issues, develop appropriate action plans, deliver timely results and lead projects/assignments"
Volt,Marketing Analyst,Marketing Analyst,https://www.linkedin.com/jobs/view/2277169093/?alternateChannel=search&refId=2e02112d-49e2-4ea8-b079-f1f9795b5ab3&trackingId=8b09OBosqYlPhKv%2BUWAzgg%3D%3D,"Targeting & strategy for marketing campaigns - directmail, digital, email and telesales


Support marketing campaigns through data mining and analysis to drive performance and growth


Setting up A/B campaigns for lists, creatives, etc., and measuring performance


Coordinate with data vendors on 3rd party data & testing


Integrating data from different data vendors, data cleansing and matching to build prospect database
","3+ years of Data Analytics experience with Bachelor's Degree, 2+ years of experience with Master's"
Paladin,Marketing Analyst,Marketing Analyst,https://www.linkedin.com/jobs/view/2299546727/?alternateChannel=search&refId=2e02112d-49e2-4ea8-b079-f1f9795b5ab3&trackingId=DUdeTy82BZfe3huzNfZDlQ%3D%3D&trk=flagship3_search_srp_jobs&lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_jobs%3BMjZKwb0URWK5ddLGZ07usg%3D%3D," you will join a fast-growing marketing team in supporting their targeting and segmentation efforts. You will support marketing campaigns through data mining and analysis to drive performance and growth, and will have the opportunity to A/B test campaigns, measure performance, and report back to stakeholders. You will need to come to the table with 2+ years of marketing analysis experience and strong technical prowess, including experience with Python, SQL and Snowflake, with Tableau experience highly preferred. This is a contract role best fit if you're currently in Seattle, but we're open to discussing","Support marketing campaigns through data mining and analysis to drive performance and growth
A/B test campaigns, measure performance, and report back to stakeholders on findings 
Work with marketers to set targeting and segmentation strategy for all marketing channels
Work to integrate data from internal and vendor systems, overseeing data cleansing work and aiding in the build out of a prospect database

Your experience should include

3+ years of data analytics experience working with a marketing team
Strong experience in Python, SQL and Snowflake; Some experience with Tableau, highly preferred
Marketing analytics experience i.e. campaign analysis, e-mail campaigns, A/B testing, etc. highly preferred
Bachelor's degree, required
Experience with data integration and/or data cleansing projects"
Wimmer Solutions,Marketing Analyst,Marketing Analyst,https://www.linkedin.com/company/21541/?lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_jobs%3BwGhkUDjLQTKtHRrcGHwuXg%3D%3D&licu=urn%3Ali%3Acontrol%3Ad_flagship3_search_srp_jobs-job_card_company_link&lici=wPaylN%2F3ZqX4DeMlrAG1mA%3D%3D,"Quantitative and qualitative market analysis.
Identify key market statistics, interpret findings, and help marketing managers understand the numbers behind their marketing strategies.
Analyze trends in the marketplace and modeling statistics, to gain a clear understanding of what does and doesn't work in the market.","3+ years of experience in solving problems using data-driven approach or Master’s degree and 2+ year
Proficiency in Python, SQL and Excel,
Previous experience with marketing analytics - campaign strategy and measuring performance of telesales, directmail, digital and email channels is a plus
Comfort in manipulation of large datasets and experience in data mining, statistical analysis, predictive modeling and data manipulation
Strong analytical skills: ability to ramp up quickly, do in-depth analysis, pull together marketing campaigns, working with data platforms. Above all comfort with data – ability to manipulate it, question its validity, interpret it, and develop recommendations based on it

Professional Qualities:

High-energy and drive
Strong quantitative background
Ability to story-tell and translate analysis and insights into actionable recommendations
Outstanding problem-solving skills, with strong ability to drive towards action and impact
Ability to operate through ambiguity and change and to be able to course correct
Strong written and verbal communications skills
Innate curiosity to learn and develop"
Weee,Marketing Analyst,Marketing Analyst,https://www.linkedin.com/jobs/view/2285211028/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=SKILL_ASSESSMENTS&refId=0444260e-4e57-4f43-bfc7-3bdfe7476fed&trackingId=gbvmQnIcZQ0LCz5pPUElpg%3D%3D&trk=flagship3_search_srp_jobs&lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_jobs%3BTZ8dDp5gTRyM2hmfCdCSdQ%3D%3D&lici=gbvmQnIcZQ0LCz5pPUElpg%3D%3D,"We’re looking for a marketing analyst with a passion to work with the marketing team to help measure the effectiveness of different campaigns across geographies and platforms and lead insight generation to inform our channel investments.
Measure impact of performance and brand marketing campaigns and build reports and dashboards with marketing key metrics to help the team understand the effectiveness of different campaigns
Establish incremental value of campaigns and report the value generated across geographies and platforms
Work with the marketing team to establish test and learn strategy and analyze A/B testing results
Perform deep dive analyses to understand drivers of marketing performance and generate insights for future campaigns
Proactively identify gaps and opportunities for marketing teams to automate processes and use data to eventually drive revenue","MS in Math, Statistics, or other closely-related quantitative fieldMS in Math, Statistics, or other closely-related quantitative field
2-4 years of domain experience in performance and growth marketing, in the consumer internet space or in a high-velocity, high-growth product / business
Expert in data analysis, visualization, and communication
Experience creating dashboards/visualizations using, e.g., Tableau (or similar)
Proficiency with SQL, and comfort with Python or any other scripting language
Ability to work in a fast-paced start-up environment and deliver excellent results
Strong communication skills, and ability to work with multiple stakeholders."
"Joomag, Inc.",Marketing Data Analyst,Marketing Analyst,https://www.linkedin.com/jobs/view/2253739047/?eBP=JOB_SEARCH_ORGANIC&refId=0444260e-4e57-4f43-bfc7-3bdfe7476fed&trackingId=g0wbrAPmYiz87%2FF%2BV6fOvw%3D%3D&trk=flagship3_search_srp_jobs&lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_jobs%3BM3BjlGmoSbG2w1dbnPRUgg%3D%3D&lici=g0wbrAPmYiz87%2FF%2BV6fOvw%3D%3D,"Identify, analyze, and interpret trends or patterns in data sets of varying size and complexity. Lead efforts to resolve data quality issues by identifying root-cause errors and presenting potential solutions.
Explore marketing data using the following analytical techniques customer profiling, segmentation analysis, data analysis and mining, and predictive statistical modeling.
Look for opportunities to automate portions of data collection and integration processes and/or capture data along different stages of the buyer journey.
Work with a cross functional team to improve the integration and dissemination of data and intelligence across the company.
Drive data-related tasks of marketing programs and campaigns daily. Ensure data integrity and quality, and adhere to all data sharing and customer privacy guidelines and regulations.
Track and analyze results and key metrics from direct and digital marketing campaigns. Evaluate and optimize effectiveness of marketing campaigns. Design reports and findings documents. Distribute and present reports and key findings.
Serve as subject matter expert to the marketing team on data trends innovation and trends that affect our industry, customers and prospects.
Interpret the needs of cross-departmental partners and present relevant analytical approaches to support or satisfy those needs.
Provide recommendations for the structure and use of marketing data and project management for the use these recommendations across departments and function","2-4 years’ experience in data analysis and database management.
Expert level knowledge working in SQL required.
Experience working with relational databases and report generation utilizing SQL required.
Demonstrated analytical and problem solving skills.
Experience with data management, KPI analysis and management information systems
Ability to manage data on a tactical basis, while also delivering strategic insights and direction
Excellent written and oral communication skills."
